STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,LATITUDE,LONGITUDE,Cluster
1007,8,1,6,0,-0.08734698186165528,1.0346411646212814,-0.1241243232569765,1.151622413967207,1.0863308935142333,7.998572190140489,-0.0032095892942204103,3
3356,8,0,1,0,-0.0875471072557153,-1.169030228580553,-0.12412818591090524,-1.281282584107519,-1.256873689261306,7.998572190140489,-0.0032095892942204103,4
1170,5,1,3,0,-0.08714572223064523,1.1958441674148532,-0.1241201953706389,1.7603589162130788,1.6689609219691708,8.374085598359256,0.2781202851555559,3
1088,9,1,3,0,-0.08742318256073706,0.14065516569253086,-0.12412551505650506,0.12343330460321832,0.08622626658353717,8.9996866,-0.0144207,1
1258,4,1,6,0,-0.08731309710034622,0.744528144465668,-0.12412545569811587,0.8400526909201544,0.6903313861915766,8.374085598359256,0.2781202851555559,3
1178,4,1,3,0,-0.08723560142777308,0.5317158701284386,-0.1241217516573109,0.7977820784066096,0.7641812605676525,8.374085598359256,0.2781202851555559,3
1164,8,1,3,0,-0.0875407086700069,0.5484663146545816,-0.1241302326328519,0.2534022748180928,0.12445860727943328,7.998572190140489,-0.0032095892942204103,1
1379,2,1,3,0,-0.08814006503785962,-1.6289439823545278,-0.12438315996706777,-1.6269588760330733,-1.6693525971774728,8.374085598359256,0.2781202851555559,4
1130,2,1,6,0,-0.08727770373124438,1.1000612247214112,-0.1241237234767366,1.2648762174756436,1.212387058041636,8.374085598359256,0.2781202851555559,3
1058,2,1,2,0,-0.08742577477800992,0.8219255225737124,-0.12412872085675895,0.4632649533838658,0.4818794198337547,8.374085598359256,0.2781202851555559,1
1017,4,1,2,0,-0.0873768661447225,0.24824504840948616,-0.12412188356235691,0.3056682524854184,0.43608271114006736,8.374085598359256,0.2781202851555559,1
1019,2,1,6,0,-0.08724264341370493,1.5451597227174432,-0.12412230659388104,1.8043198610466902,1.8427846408814945,8.374085598359256,0.2781202851555559,3
1089,8,1,4,0,-0.08732479045670076,-0.37332944005645213,-0.12412412262350593,-0.30545942656991343,-0.3613260907936272,7.998572190140489,-0.0032095892942204103,1
1183,8,1,3,0,-0.08735816531084614,-0.4097292977985519,-0.12412449721371692,-0.34413045666938896,-0.4155325691802592,7.998572190140489,-0.0032095892942204103,1
1241,9,1,1,0,-0.08725174886633784,0.16258306658048155,-0.12412157134778079,0.3247105100019205,0.3599544636909423,8.9996866,-0.0144207,1
1123,2,1,3,0,-0.08725850456868402,1.6484977846893383,-0.12412190513090614,1.8719880114648304,2.004052591203844,8.374085598359256,0.2781202851555559,3
8227,3,1,7,1,-0.08713410243169098,0.11943420629209617,-0.12412044154103427,0.294361944127995,0.38152708476078767,8.374085598359256,0.2781202851555559,1
3352,8,0,4,0,-0.08747345700056795,-0.9596102562014038,-0.1241275957183415,-1.0836808389461707,-1.0549749961006756,7.998572190140489,-0.0032095892942204103,4
1163,8,1,0,0,-0.08744339563487043,0.7865148743231368,-0.12412618032607574,0.5398549002939066,0.6696510763274045,7.998572190140489,-0.0032095892942204103,1
1095,8,1,2,0,0.008995810051425383,-1.6268613022168457,-0.11691387577669976,-1.285172860614848,-1.1309554412072773,7.998572190140489,-0.0032095892942204103,4
8297,10,2,7,2,-0.08823087664314473,-1.6289439823545278,-0.12415333217893551,-1.6269557999051023,-1.669331753954988,9.996888482166584,2.0029365425029355,0
